participant.id_in_session,participant.code,participant.label,participant._is_bot,participant._index_in_pages,participant._max_page_index,participant._current_app_name,participant._current_page_name,participant.time_started_utc,participant.visited,participant.mturk_worker_id,participant.mturk_assignment_id,participant.payoff,session.code,session.label,session.mturk_HITId,session.mturk_HITGroupId,session.comment,session.is_demo,session.config.participation_fee,session.config.name,session.config.players_per_group,session.config.real_world_currency_per_point,prestige_sd.1.player.id_in_group,prestige_sd.1.player.role,prestige_sd.1.player.payoff,prestige_sd.1.player.prev_contributions,prestige_sd.1.player.contribution,prestige_sd.1.player.show_payoff,prestige_sd.1.player.show_contribution,prestige_sd.1.group.id_in_subsession,prestige_sd.1.group.total_contribution,prestige_sd.1.subsession.round_number,prestige_sd.2.player.id_in_group,prestige_sd.2.player.role,prestige_sd.2.player.payoff,prestige_sd.2.player.prev_contributions,prestige_sd.2.player.contribution,prestige_sd.2.player.show_payoff,prestige_sd.2.player.show_contribution,prestige_sd.2.group.id_in_subsession,prestige_sd.2.group.total_contribution,prestige_sd.2.subsession.round_number,prestige_sd.3.player.id_in_group,prestige_sd.3.player.role,prestige_sd.3.player.payoff,prestige_sd.3.player.prev_contributions,prestige_sd.3.player.contribution,prestige_sd.3.player.show_payoff,prestige_sd.3.player.show_contribution,prestige_sd.3.group.id_in_subsession,prestige_sd.3.group.total_contribution,prestige_sd.3.subsession.round_number
10,kbfk59e2,,1,16,15,prestige_sd,Results,2025-03-21 03:29:54.273771,1,,,440.0,kntb5qze,,,,,0,0.0,prestige_sd_demo,3,1.0,2,,140.0,,20.0,0,0,5,60.0,1,1,,150.0,20.0,10.0,0,1,4,60.0,2,1,,150.0,10.0,10.0,0,0,4,60.0,3
11,issgsggu,,1,16,15,prestige_sd,Results,2025-03-21 03:29:54.285554,1,,,410.0,kntb5qze,,,,,0,0.0,prestige_sd_demo,3,1.0,3,,130.0,,30.0,0,0,2,60.0,1,2,,140.0,30.0,20.0,1,1,4,60.0,2,2,,140.0,20.0,20.0,1,0,4,60.0,3
12,6z6temey,,1,16,15,prestige_sd,Results,2025-03-21 03:29:54.316009,1,,,410.0,kntb5qze,,,,,0,0.0,prestige_sd_demo,3,1.0,1,,150.0,,10.0,1,0,3,60.0,1,3,,130.0,10.0,30.0,0,1,4,60.0,2,3,,130.0,30.0,30.0,0,1,4,60.0,3
13,dspdu0df,,1,16,15,prestige_sd,Results,2025-03-21 03:29:54.326166,1,,,450.0,kntb5qze,,,,,0,0.0,prestige_sd_demo,3,1.0,1,,150.0,,10.0,1,1,1,60.0,1,1,,150.0,10.0,10.0,1,1,5,60.0,2,1,,150.0,10.0,10.0,0,0,5,60.0,3
14,jvscsszx,,1,16,15,prestige_sd,Results,2025-03-21 03:29:54.347833,1,,,420.0,kntb5qze,,,,,0,0.0,prestige_sd_demo,3,1.0,2,,140.0,,20.0,0,1,6,60.0,1,2,,140.0,20.0,20.0,1,0,5,60.0,2,2,,140.0,20.0,20.0,0,0,5,60.0,3
15,t82tas5h,,1,16,15,prestige_sd,Results,2025-03-21 03:29:54.382373,1,,,410.0,kntb5qze,,,,,0,0.0,prestige_sd_demo,3,1.0,1,,150.0,,10.0,1,0,5,60.0,1,3,,130.0,10.0,30.0,1,1,5,60.0,2,3,,130.0,30.0,30.0,0,1,5,60.0,3
16,rup7k26n,,1,16,15,prestige_sd,Results,2025-03-21 03:29:54.391922,1,,,430.0,kntb5qze,,,,,0,0.0,prestige_sd_demo,3,1.0,3,,130.0,,30.0,1,1,4,60.0,1,1,,150.0,30.0,10.0,0,0,6,60.0,2,1,,150.0,10.0,10.0,1,0,6,60.0,3
17,hz6it2r0,,1,16,15,prestige_sd,Results,2025-03-21 03:29:54.428021,1,,,410.0,kntb5qze,,,,,0,0.0,prestige_sd_demo,3,1.0,3,,130.0,,30.0,0,0,1,60.0,1,2,,140.0,30.0,20.0,1,1,6,60.0,2,2,,140.0,20.0,20.0,0,0,6,60.0,3
18,9tqal8wv,,1,16,15,prestige_sd,Results,2025-03-21 03:29:54.460443,1,,,390.0,kntb5qze,,,,,0,0.0,prestige_sd_demo,3,1.0,3,,130.0,,30.0,1,1,5,60.0,1,3,,130.0,30.0,30.0,1,0,6,60.0,2,3,,130.0,30.0,30.0,1,0,6,60.0,3
1,t9sdako4,,1,16,15,prestige_sd,Results,2025-03-21 03:30:00.988940,1,,,900.0,5mbr47j9,,,,,0,0.0,prestige_sd_demo,3,1.0,1,,300.0,,100.0,0,1,1,300.0,1,1,,300.0,100.0,100.0,1,0,1,300.0,2,1,,300.0,100.0,100.0,1,1,1,300.0,3
2,i4kll1mb,,1,16,15,prestige_sd,Results,2025-03-21 03:30:01.016899,1,,,900.0,5mbr47j9,,,,,0,0.0,prestige_sd_demo,3,1.0,2,,300.0,,100.0,1,0,6,300.0,1,2,,300.0,100.0,100.0,0,0,1,300.0,2,2,,300.0,100.0,100.0,1,1,1,300.0,3
3,a4rqv6u9,,1,16,15,prestige_sd,Results,2025-03-21 03:30:01.049225,1,,,900.0,5mbr47j9,,,,,0,0.0,prestige_sd_demo,3,1.0,3,,300.0,,100.0,0,1,2,300.0,1,3,,300.0,100.0,100.0,1,1,1,300.0,2,3,,300.0,100.0,100.0,0,0,1,300.0,3
4,ki1d965v,,1,16,15,prestige_sd,Results,2025-03-21 03:30:01.058741,1,,,900.0,5mbr47j9,,,,,0,0.0,prestige_sd_demo,3,1.0,1,,300.0,,100.0,0,0,5,300.0,1,1,,300.0,100.0,100.0,0,0,2,300.0,2,1,,300.0,100.0,100.0,0,1,2,300.0,3
5,dopadjmp,,1,16,15,prestige_sd,Results,2025-03-21 03:30:01.065374,1,,,900.0,5mbr47j9,,,,,0,0.0,prestige_sd_demo,3,1.0,2,,300.0,,100.0,0,1,2,300.0,1,2,,300.0,100.0,100.0,1,1,2,300.0,2,2,,300.0,100.0,100.0,1,1,2,300.0,3
6,g8opgr04,,1,16,15,prestige_sd,Results,2025-03-21 03:30:01.073617,1,,,900.0,5mbr47j9,,,,,0,0.0,prestige_sd_demo,3,1.0,2,,300.0,,100.0,1,0,4,300.0,1,3,,300.0,100.0,100.0,1,0,2,300.0,2,3,,300.0,100.0,100.0,1,1,2,300.0,3
7,caceqkvo,,1,16,15,prestige_sd,Results,2025-03-21 03:30:01.093657,1,,,900.0,5mbr47j9,,,,,0,0.0,prestige_sd_demo,3,1.0,3,,300.0,,100.0,1,1,4,300.0,1,1,,300.0,100.0,100.0,0,0,3,300.0,2,1,,300.0,100.0,100.0,1,0,3,300.0,3
8,awwgs48d,,1,16,15,prestige_sd,Results,2025-03-21 03:30:01.127338,1,,,900.0,5mbr47j9,,,,,0,0.0,prestige_sd_demo,3,1.0,2,,300.0,,100.0,0,0,1,300.0,1,2,,300.0,100.0,100.0,0,1,3,300.0,2,2,,300.0,100.0,100.0,0,1,3,300.0,3
9,muhxq4j6,,1,16,15,prestige_sd,Results,2025-03-21 03:30:01.160126,1,,,900.0,5mbr47j9,,,,,0,0.0,prestige_sd_demo,3,1.0,1,,300.0,,100.0,0,0,2,300.0,1,3,,300.0,100.0,100.0,0,0,3,300.0,2,3,,300.0,100.0,100.0,0,0,3,300.0,3
10,4b5b181g,,1,16,15,prestige_sd,Results,2025-03-21 03:30:01.189740,1,,,900.0,5mbr47j9,,,,,0,0.0,prestige_sd_demo,3,1.0,3,,300.0,,100.0,0,1,6,300.0,1,1,,300.0,100.0,100.0,1,1,4,300.0,2,1,,300.0,100.0,100.0,1,1,4,300.0,3
11,0qmpto3i,,1,16,15,prestige_sd,Results,2025-03-21 03:30:01.220105,1,,,900.0,5mbr47j9,,,,,0,0.0,prestige_sd_demo,3,1.0,1,,300.0,,100.0,1,1,4,300.0,1,2,,300.0,100.0,100.0,0,0,4,300.0,2,2,,300.0,100.0,100.0,0,1,4,300.0,3
12,exzdb6g6,,1,16,15,prestige_sd,Results,2025-03-21 03:30:01.252765,1,,,900.0,5mbr47j9,,,,,0,0.0,prestige_sd_demo,3,1.0,3,,300.0,,100.0,0,1,5,300.0,1,3,,300.0,100.0,100.0,0,1,4,300.0,2,3,,300.0,100.0,100.0,0,1,4,300.0,3
13,unjvfv4i,,1,16,15,prestige_sd,Results,2025-03-21 03:30:01.282259,1,,,900.0,5mbr47j9,,,,,0,0.0,prestige_sd_demo,3,1.0,2,,300.0,,100.0,1,0,5,300.0,1,1,,300.0,100.0,100.0,1,0,5,300.0,2,1,,300.0,100.0,100.0,0,0,5,300.0,3
14,scvzcpj1,,1,16,15,prestige_sd,Results,2025-03-21 03:30:01.291283,1,,,900.0,5mbr47j9,,,,,0,0.0,prestige_sd_demo,3,1.0,3,,300.0,,100.0,1,0,1,300.0,1,2,,300.0,100.0,100.0,1,1,5,300.0,2,2,,300.0,100.0,100.0,1,0,5,300.0,3
15,0qnzk1yp,,1,16,15,prestige_sd,Results,2025-03-21 03:30:01.311610,1,,,900.0,5mbr47j9,,,,,0,0.0,prestige_sd_demo,3,1.0,1,,300.0,,100.0,0,0,3,300.0,1,3,,300.0,100.0,100.0,0,1,5,300.0,2,3,,300.0,100.0,100.0,1,0,5,300.0,3
16,vz85fbdh,,1,16,15,prestige_sd,Results,2025-03-21 03:30:01.343649,1,,,900.0,5mbr47j9,,,,,0,0.0,prestige_sd_demo,3,1.0,2,,300.0,,100.0,1,1,3,300.0,1,1,,300.0,100.0,100.0,1,1,6,300.0,2,1,,300.0,100.0,100.0,1,0,6,300.0,3
17,cmnbpjfr,,1,16,15,prestige_sd,Results,2025-03-21 03:30:01.377271,1,,,900.0,5mbr47j9,,,,,0,0.0,prestige_sd_demo,3,1.0,3,,300.0,,100.0,0,1,3,300.0,1,2,,300.0,100.0,100.0,0,1,6,300.0,2,2,,300.0,100.0,100.0,1,0,6,300.0,3
18,wh9v202n,,1,16,15,prestige_sd,Results,2025-03-21 03:30:01.406454,1,,,900.0,5mbr47j9,,,,,0,0.0,prestige_sd_demo,3,1.0,1,,300.0,,100.0,1,1,6,300.0,1,3,,300.0,100.0,100.0,0,0,6,300.0,2,3,,300.0,100.0,100.0,1,0,6,300.0,3
